aX,aY,aZ,gX,gY,gZ
-0.177,-0.009,1.092,4.150,6.531,0.916
-0.190,-0.000,1.014,5.554,11.169,-0.427
-0.189,-0.023,0.942,4.944,12.634,-2.563
-0.175,-0.040,0.897,3.052,10.498,-3.540
-0.173,-0.056,0.879,3.296,6.775,-3.784
-0.172,-0.062,0.868,5.432,3.296,-3.113
-0.173,-0.053,0.885,5.554,-0.793,-1.587
-0.170,-0.054,0.925,5.432,-4.639,-0.183
-0.173,-0.048,1.000,5.005,-8.057,0.610
-0.179,-0.041,1.055,4.211,-9.460,1.343
-0.185,-0.031,1.077,2.075,-8.972,1.526
-0.183,-0.028,1.089,0.305,-7.568,0.671
-0.177,-0.048,1.094,-1.648,-5.554,-0.122
-0.170,-0.045,1.083,-2.319,-2.808,0.305
-0.173,-0.050,1.049,0.061,0.000,0.244
-0.178,-0.041,1.008,2.197,2.075,0.366
-0.180,-0.040,0.984,3.418,2.075,0.244
-0.180,-0.046,0.970,2.991,0.244,-0.305
-0.173,-0.051,0.963,1.099,-1.892,0.061
-0.170,-0.046,0.985,1.343,-3.662,0.671
-0.177,-0.041,1.002,3.113,-4.700,0.244
-0.176,-0.041,1.019,3.662,-5.188,0.549
-0.184,-0.028,1.028,4.150,-5.798,0.854
-0.197,-0.015,1.061,3.967,-6.409,0.427
-0.193,-0.019,1.082,3.479,-6.592,-0.305
-0.179,-0.026,1.095,2.441,-5.676,-0.977
-0.170,-0.033,1.107,1.282,-4.517,-1.953
-0.158,-0.052,1.091,0.488,-2.197,-2.441
-0.155,-0.052,1.063,0.671,1.465,-2.075
-0.152,-0.057,1.024,2.380,4.028,-1.770
-0.161,-0.053,0.991,3.784,5.676,-1.587
-0.170,-0.065,0.956,4.150,5.005,-1.160
-0.182,-0.031,0.943,3.113,2.502,0.549
-0.178,-0.048,0.956,3.052,-1.099,0.244
-0.174,-0.037,0.994,3.662,-3.723,0.244
-0.170,-0.048,1.014,3.540,-4.700,0.183
-0.167,-0.043,1.034,2.502,-4.761,0.732
-0.164,-0.051,1.045,1.831,-4.211,0.732
-0.167,-0.044,1.053,2.258,-3.296,0.854
-0.174,-0.045,1.035,3.174,-1.404,1.038
-0.175,-0.041,1.036,4.333,-0.366,0.916
-0.184,-0.041,1.032,4.272,-0.183,0.671
-0.183,-0.041,1.006,2.869,0.183,0.854
-0.174,-0.054,1.001,1.709,-0.183,0.244
-0.174,-0.061,0.993,1.892,-0.671,0.122
-0.177,-0.055,0.983,1.587,-1.221,0.610
-0.177,-0.053,0.980,1.892,-1.953,0.916
-0.187,-0.046,0.979,2.014,-3.174,0.977
-0.187,-0.043,0.993,1.343,-4.150,0.854
-0.189,-0.045,1.017,1.465,-5.249,0.916
-0.187,-0.043,1.035,1.648,-5.615,0.977
-0.185,-0.045,1.072,2.930,-5.432,0.854
-0.191,-0.040,1.084,3.540,-4.395,0.610
-0.192,-0.033,1.084,2.686,-2.991,0.427
-0.188,-0.040,1.083,0.977,-1.648,-0.244
-0.183,-0.048,1.061,-0.305,-0.305,-0.793
-0.186,-0.041,1.040,0.610,0.793,-1.099
-0.190,-0.051,1.012,1.587,1.404,-1.770
-0.187,-0.050,1.004,1.282,0.854,-1.953
-0.193,-0.033,1.007,0.549,-0.427,-1.892
-0.183,-0.063,1.000,1.526,-0.977,-2.869
-0.181,-0.058,1.019,-0.061,-2.991,-2.686
-0.181,-0.037,1.023,0.122,-2.869,-0.793
-0.183,-0.047,1.035,3.418,-3.052,-2.075
-0.184,-0.044,1.036,4.944,-2.625,-2.136
-0.184,-0.044,1.036,3.540,-2.563,-2.014
-0.175,-0.048,1.054,1.648,-1.953,-2.075
-0.173,-0.058,1.050,1.709,-0.732,-2.197
-0.176,-0.054,1.019,1.526,1.038,-1.648
-0.181,-0.043,1.006,0.488,0.916,-1.282
-0.185,-0.047,0.996,-0.793,0.244,-1.221
-0.179,-0.045,0.991,-1.587,-0.305,-1.099
-0.180,-0.047,0.998,-1.831,-1.282,-1.160
-0.183,-0.043,0.996,-1.648,-1.831,-0.916
-0.184,-0.033,0.995,-0.732,-2.197,-0.854
-0.188,-0.031,1.002,-1.465,-2.869,-0.977
-0.182,-0.031,1.016,-3.479,-3.296,-0.977
-0.175,-0.040,1.039,-4.883,-3.723,-1.282
-0.177,-0.033,1.032,-4.944,-3.296,-1.221
-0.174,-0.039,1.031,-4.028,-2.563,-1.831
-0.171,-0.042,1.043,-2.502,-2.136,-2.319
-0.177,-0.028,1.027,-2.014,-1.038,-1.892
-0.170,-0.011,1.005,-3.174,-0.671,-2.197
-0.169,-0.093,1.006,-4.578,-1.160,-3.723

-0.437,0.086,2.780,-48.645,-217.651,56.091
-0.314,0.265,3.234,-65.857,-155.090,59.692
-0.284,0.545,3.138,-27.100,-86.060,58.105
-0.326,0.599,2.723,17.578,-23.071,37.537
-0.353,0.439,2.134,17.517,29.236,11.353
-0.382,0.294,1.646,0.305,63.416,-6.653
-0.367,0.156,1.288,-2.991,80.566,-16.418
