aX,aY,aZ,gX,gY,gZ
-0.335,1.079,1.131,-35.034,59.570,-280.762
-0.441,0.852,1.004,-39.490,52.490,-341.736
-0.569,0.624,0.702,14.038,38.086,-382.568
-0.562,0.277,0.594,49.744,18.494,-400.574
-0.543,-0.016,0.564,81.299,-6.287,-408.203
-0.536,-0.318,0.622,93.445,-26.428,-407.654
-0.463,-0.774,0.641,98.572,-39.978,-399.292
-0.377,-1.328,0.752,119.751,-50.903,-379.333
-0.323,-1.815,0.833,120.972,-47.302,-344.055
-0.156,-2.114,1.078,90.515,-40.222,-267.639
0.020,-1.824,1.494,27.222,-29.724,-169.678
0.118,-1.186,1.580,-8.118,-3.357,-89.294
0.159,-0.865,1.234,-22.522,31.067,-43.640
0.177,-0.930,0.898,-28.870,48.706,-23.193
0.201,-0.923,0.760,-34.729,45.288,4.211
0.243,-0.823,0.770,-32.776,31.189,41.382
0.251,-0.749,0.806,-39.551,21.545,71.777
0.221,-0.776,0.851,-44.495,13.733,95.337
0.163,-0.979,0.701,-57.556,16.357,119.934
0.061,-1.024,0.604,-75.195,12.817,157.349
-0.130,-0.892,0.803,-111.938,3.967,202.026
-0.373,-1.043,1.128,-131.958,-6.348,233.704
-0.650,-1.130,1.336,-100.159,-9.644,270.996
-0.849,-0.988,1.333,-36.865,-5.005,321.350
-1.000,-0.722,1.215,26.306,-6.042,372.375
-1.052,-0.422,1.123,45.227,-11.047,399.475
-0.721,0.407,1.316,78.918,-29.541,406.006
-0.359,0.886,1.520,100.891,-47.058,380.005
-0.101,0.976,1.348,69.641,-37.720,323.975
0.137,0.942,1.134,38.940,-21.423,264.832
0.238,0.891,0.884,21.851,-11.169,211.609
0.254,0.691,0.785,24.414,-12.939,166.443
0.175,0.417,0.664,20.020,-18.982,135.254
0.078,0.323,0.746,21.118,-31.860,119.141
0.004,0.251,0.891,22.888,-42.847,107.361
-0.043,0.170,1.019,20.996,-44.556,92.834
-0.056,0.110,1.106,17.822,-40.405,80.444
-0.069,0.053,1.105,14.832,-33.508,67.566
-0.065,0.076,1.140,12.817,-29.358,56.396
-0.054,0.035,1.144,11.353,-25.330,43.152
-0.020,-0.032,1.142,6.165,-18.982,29.358
